timestamp,machine_id,line,temperature_c,vibration_mm_s,run_hours_since_maintenance,failure_event,temp_baseline_mean,temp_baseline_std,vib_baseline_mean,vib_baseline_std,vibration_zscore,temperature_zscore,vib_roll6h,vib_roll6h_24h_ago,vib_trend_24h_pct,limited_history,flag_vib_only,flag_temp_only,flag_runhours_only,vib_component,temp_component,trend_component,maintenance_component,risk_score,risk_level,flag_final,final_status
2026-01-01 00:00:00,MCH-200,Line A,68.79,0.585,1,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-1.2462491915276566,-0.6178445662608119,,,,False,False,False,False,0.0,0.0,0.0,0.0006222775357809583,4.9782202862476667e-05,Low,False,Low
2026-01-01 01:00:00,MCH-200,Line A,67.79,0.627,2,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-0.9519513220452194,-1.1488205599884729,,,,False,False,False,False,0.0,0.0,0.0,0.0012445550715619166,9.956440572495333e-05,Low,False,Low
2026-01-01 02:00:00,MCH-200,Line A,71.21,0.533,3,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-1.6106179823154354,0.6671173385601208,0.5816666666666667,,,False,False,False,False,0.0,0.0833896673200151,0.0,0.001866832607342875,0.02516624680459196,Low,False,Low
2026-01-01 03:00:00,MCH-200,Line A,68.06,0.658,4,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-0.7347314659986586,-1.0054570416820063,0.60075,,,False,False,False,False,0.0,0.0,0.0,0.002489110143123833,0.00019912881144990667,Low,False,Low
2026-01-01 04:00:00,MCH-200,Line A,69.67,0.559,5,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-1.4284335869215457,-0.1505856917804727,0.5924,,,False,False,False,False,0.0,0.0,0.0,0.0031113876789047915,0.0002489110143123833,Low,False,Low
2026-01-01 05:00:00,MCH-200,Line A,71.09,0.638,6,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-0.874873308609343,0.6034002193128066,0.6,,,False,False,False,False,0.0,0.07542502741410083,0.0,0.00373366521468575,0.022926201441405107,Low,False,Low
2026-01-01 06:00:00,MCH-200,Line A,71.23,0.68,7,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-0.5805754391269057,0.6777368584346795,0.6158333333333333,,,False,False,False,False,0.0,0.08471710730433493,0.0,0.0043559427504667085,0.025763607611337815,Low,False,Low
2026-01-01 07:00:00,MCH-200,Line A,70.35,0.529,8,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-1.6386463508375724,0.2104779839543327,0.5995,,,False,False,False,False,0.0,0.026309747994291588,0.0,0.004978220286247666,0.008291182021187291,Low,False,Low
2026-01-01 08:00:00,MCH-200,Line A,69.23,0.444,9,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-2.234249181932981,-0.3842151290206422,0.5846666666666667,,,False,False,False,False,0.0,0.0,0.0,0.005600497822028625,0.00044803982576229005,Low,False,Low
2026-01-01 09:00:00,MCH-200,Line A,72.32,0.543,10,0,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199,-1.540547061010093,1.256500691597824,0.5655,,,False,False,False,False,0.0,0.157062586449728,0.0,0.006222775357809583,0.047616597963543165,Low,False,Low
