machine_id,temp_baseline_mean,temp_baseline_std,vib_baseline_mean,vib_baseline_std
MCH-200,69.95360169491525,1.8833243156241504,0.7628554025423729,0.142712551993199
MCH-201,64.26985346045198,1.872827568906508,0.7223847104519774,0.2315278707421637
MCH-202,68.66504310344828,2.089869628617159,0.5300887212643678,0.1457306372862439
MCH-203,57.61552259887006,1.9240981433730395,0.7384037782485876,0.2602684719476003
MCH-204,64.85189442090396,1.879805487903778,0.6866348870056497,0.1410034301588219
MCH-205,57.95382415254237,1.908187029847656,0.6996412429378531,0.1694984518703479
MCH-206,58.263816451149424,2.1385466245895,0.5029630028735632,0.1281748529059492
MCH-207,61.00225812146892,2.0810067508899377,1.0766442443502826,0.371868766246709
MCH-208,69.51954978813559,1.9151732740006095,0.8380820974576271,0.2352067956561483
MCH-209,69.6481320621469,1.8001246295612172,0.629224929378531,0.1616359114880257
MCH-210,62.52774540960452,1.9157631006926976,0.9217434675141244,0.2652212188081738
MCH-211,57.84597457627118,2.13529022404206,1.2426924435028248,0.4367442664339251
MCH-212,61.966168785310735,2.053152681795818,0.9353462217514124,0.3557900600910826
MCH-213,56.392332274011295,1.867434372070833,0.7019908192090396,0.1897817271038728
MCH-214,64.97364230225989,1.8270055010594493,0.6153283898305084,0.1149903902999783
MCH-300,69.22875,1.7166811556433077,0.3040972222222222,0.0519832474970955
MCH-301,65.28125,1.7808582655483367,0.4421388888888888,0.0546046754319603
